Entity,Year,Annual CO₂ emissions (per capita)
Brazil,1950,0.3680888
Brazil,1951,0.39367178
Brazil,1952,0.43979865
Brazil,1953,0.43157357
Brazil,1954,0.49266362
Brazil,1955,0.5478737
Brazil,1956,0.57170385
Brazil,1957,0.5448022
Brazil,1958,0.57354563
Brazil,1959,0.5556847
Brazil,1960,0.6472312
Brazil,1961,0.65861255
Brazil,1962,0.6974964
Brazil,1963,0.7013657
Brazil,1964,0.6948991
Brazil,1965,0.6714493
Brazil,1966,0.74486816
Brazil,1967,0.7465855
Brazil,1968,0.85103744
Brazil,1969,0.90373224
Brazil,1970,0.9802108
Brazil,1971,1.0470417
Brazil,1972,1.1385175
Brazil,1973,1.2871305
Brazil,1974,1.3608927
Brazil,1975,1.3968338
Brazil,1976,1.4027977
Brazil,1977,1.438432
Brazil,1978,1.5321437
Brazil,1979,1.5862978
Brazil,1980,1.5361329
Brazil,1981,1.3809463
Brazil,1982,1.3512094
Brazil,1983,1.2782167
Brazil,1984,1.263146
Brazil,1985,1.3290781
Brazil,1986,1.425789
Brazil,1987,1.4596778
Brazil,1988,1.44407
Brazil,1989,1.4475551
Brazil,1990,1.4660945
Brazil,1991,1.5119144
Brazil,1992,1.5141854
Brazil,1993,1.5581285
Brazil,1994,1.5948392
Brazil,1995,1.6612233
Brazil,1996,1.761916
Brazil,1997,1.8417498
Brazil,1998,1.8760923
Brazil,1999,1.9066253
Brazil,2000,1.95487
Brazil,2001,1.9634924
Brazil,2002,1.9482261
Brazil,2003,1.908094
Brazil,2004,1.978562
Brazil,2005,1.9728998
Brazil,2006,1.9762388
Brazil,2007,2.071431
Brazil,2008,2.1675894
Brazil,2009,2.0292337
Brazil,2010,2.2729208
Brazil,2011,2.368747
Brazil,2012,2.5310798
Brazil,2013,2.6825008
Brazil,2014,2.7883189
Brazil,2015,2.6247764
Brazil,2016,2.4247255
Brazil,2017,2.4340897
Brazil,2018,2.3210206
Brazil,2019,2.281887
Brazil,2020,2.1336453
Brazil,2021,2.3765988
Brazil,2022,2.3006465
Brazil,2023,2.3040092
China,1950,0.14490601
China,1951,0.18440397
China,1952,0.22649482
China,1953,0.23163576
China,1954,0.27262098
China,1955,0.31566966
China,1956,0.35004622
China,1957,0.40577847
China,1958,0.8143453
China,1959,1.1033286
China,1960,1.2199106
China,1961,0.8701637
China,1962,0.6910785
China,1963,0.66726714
China,1964,0.65357304
China,1965,0.6915614
China,1966,0.74011
China,1967,0.604744
China,1968,0.6344425
China,1969,0.75757736
China,1970,0.9813481
China,1971,1.0771736
China,1972,1.1215359
China,1973,1.1424416
China,1974,1.141943
China,1975,1.2915548
China,1976,1.3182049
China,1977,1.4210548
China,1978,1.5612195
China,1979,1.5740019
China,1980,1.5200889
China,1981,1.4798604
China,1982,1.5850471
China,1983,1.6463654
China,1984,1.7673312
China,1985,1.8853258
China,1986,1.9533492
China,1987,2.059572
China,1988,2.175213
China,1989,2.172552
China,1990,2.1540327
China,1991,2.2259326
China,1992,2.3052905
China,1993,2.4401822
China,1994,2.5671887
China,1995,2.755138
China,1996,2.8505082
China,1997,2.8325536
China,1998,2.6898472
China,1999,2.822838
China,2000,2.8743548
China,2001,2.9158025
China,2002,3.1884003
China,2003,3.7397096
China,2004,4.0068736
China,2005,4.4900646
China,2006,4.9272113
China,2007,5.267368
China,2008,5.6240664
China,2009,5.877799
China,2010,6.3782344
China,2011,7.0077763
China,2012,7.140667
China,2013,7.2199216
China,2014,7.1978407
China,2015,7.0648346
China,2016,6.9532394
China,2017,7.084865
China,2018,7.2818375
China,2019,7.5264006
China,2020,7.6471825
China,2021,8.025529
China,2022,7.964287
China,2023,8.366814
India,1950,0.17645483
India,1951,0.18091987
India,1952,0.18632448
India,1953,0.18563628
India,1954,0.19122285
India,1955,0.20321788
India,1956,0.20568933
India,1957,0.22556181
India,1958,0.23044972
India,1959,0.23826179
India,1960,0.25533837
India,1961,0.26962337
India,1962,0.2899332
India,1963,0.30427778
India,1964,0.29106775
India,1965,0.31358775
India,1966,0.3182756
India,1967,0.31187224
India,1968,0.33300883
India,1969,0.33230913
India,1970,0.33290812
India,1971,0.34396154
India,1972,0.35590246
India,1973,0.3583674
India,1974,0.36153808
India,1975,0.3831269
India,1976,0.39105976
India,1977,0.40412188
India,1978,0.40130892
India,1979,0.41165522
India,1980,0.4243972
India,1981,0.4475883
India,1982,0.45172003
India,1983,0.47764024
India,1984,0.47896573
India,1985,0.5145839
India,1986,0.53916126
India,1987,0.56289464
India,1988,0.5943027
India,1989,0.6390376
India,1990,0.668225
India,1991,0.6961713
India,1992,0.7258895
India,1993,0.7345036
India,1994,0.758703
India,1995,0.79189926
India,1996,0.84070516
India,1997,0.8587551
India,1998,0.85972553
India,1999,0.92538923
India,2000,0.9324355
India,2001,0.9282198
India,2002,0.9403603
India,2003,0.95606565
India,2004,0.99809515
India,2005,1.0345691
India,2006,1.1019763
India,2007,1.1695088
India,2008,1.2330486
India,2009,1.3155315
India,2010,1.348904
India,2011,1.3992052
India,2012,1.5060126
India,2013,1.5396302
India,2014,1.6371114
India,2015,1.6823633
India,2016,1.7520504
India,2017,1.7847193
India,2018,1.886328
India,2019,1.8810879
India,2020,1.7264521
India,2021,1.8909733
India,2022,1.9861935
India,2023,2.129469
Russia,1950,4.014427
Russia,1951,4.2904673
Russia,1952,4.5304
Russia,1953,4.7251263
Russia,1954,5.0845823
Russia,1955,5.6773663
Russia,1956,6.1283092
Russia,1957,6.599831
Russia,1958,6.932269
Russia,1959,7.18329
Russia,1960,7.3765645
Russia,1961,7.5028048
Russia,1962,7.7782164
Russia,1963,8.252118
Russia,1964,8.693884
Russia,1965,9.149498
Russia,1966,9.594186
Russia,1967,9.968936
Russia,1968,10.19173
Russia,1969,10.556996
Russia,1970,11.05166
Russia,1971,11.6725645
Russia,1972,12.212095
Russia,1973,12.655912
Russia,1974,13.060548
Russia,1975,13.638778
Russia,1976,14.06501
Russia,1977,14.440757
Russia,1978,14.834401
Russia,1979,14.866545
Russia,1980,15.367172
Russia,1981,14.990318
Russia,1982,15.17533
Russia,1983,15.272579
Russia,1984,15.28566
Russia,1985,16.358198
Russia,1986,16.221008
Russia,1987,16.13386
Russia,1988,16.536795
Russia,1989,16.217937
Russia,1990,17.024141
Russia,1991,16.10426
Russia,1992,13.205468
Russia,1993,12.601507
Russia,1994,11.117793
Russia,1995,10.922601
Russia,1996,10.715651
Russia,1997,10.025074
Russia,1998,9.924805
Russia,1999,10.147781
Russia,2000,10.081552
Russia,2001,10.372815
Russia,2002,10.324747
Russia,2003,10.542385
Russia,2004,10.634773
Russia,2005,10.806364
Russia,2006,11.262799
Russia,2007,11.287254
Russia,2008,11.487685
Russia,2009,10.739168
Russia,2010,11.343939
Russia,2011,11.704153
Russia,2012,11.79054
Russia,2013,11.344339
Russia,2014,11.31587
Russia,2015,11.277288
Russia,2016,11.214848
Russia,2017,11.397211
Russia,2018,11.694962
Russia,2019,11.635815
Russia,2020,11.15608
Russia,2021,11.739159
Russia,2022,12.379392
Russia,2023,12.485692
